Team,ERA
Arizona Diamondbacks,4.48
Atlanta Braves,4.14
Baltimore Orioles,3.89
Boston Red Sox,4.52
Chicago Cubs,4.08
Chicago White Sox,4.87
Cincinnati Reds,4.83
Cleveland Guardians,3.96
Colorado Rockies,5.67
Detroit Tigers,4.24
Houston Astros,3.94
Kansas City Royals,5.17
Los Angeles Angels,4.64
Los Angeles Dodgers,4.06
Miami Marlins,4.21
Milwaukee Brewers,3.71
Minnesota Twins,3.87
New York Mets,4.30
New York Yankees,3.97
Oakland Athletics,5.48
Philadelphia Phillies,4.03
Pittsburgh Pirates,4.60
San Diego Padres,3.73
San Francisco Giants,4.02
St. Louis Cardinals,4.79
Tampa Bay Rays,3.86
Texas Rangers,4.28
Toronto Blue Jays,3.78
Washington Nationals,5.02
